id,type,name,creator,starring,year,rating,time,genres,country
81017092,Movie,Along with the Gods: The Last 49 Days,,"Ha Jung-woo, Ju Ji-hoon, Kim Hyang-gi",2018,TV-14,141 min,"Drama Movies ,Action & Adventure Movies",South Korea
81004470,Movie,Animal World,,"Li Yifeng, Zhou Dongyu, Michael Douglas",2018,TV-14,130 min,Action & Adventure Movies,China
81322031,Movie,A Choo,,"Kai Ko, Ariel Lin, Darren Wang",2020,TV-14,101 min,"Romantic Movies ,Movies Based on Books ,Action & Adventure Movies ",China
80223731,Movie,FullMetal Alchemist,,"Ryosuke Yamada, Tsubasa Honda, Dean Fujioka",2017,TV-PG,135 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies",Japan
80239593,Movie,The Monkey King 3,,"Xiao Shenyang, Gigi Leung, Him Law",2018,TV-14,113 min,"Martial Arts Movies ,Movies Based on Books ,Action & Adventure Movies ",China
80133493,Movie,The Dark Tower,,"Idris Elba, Matthew McConaughey, Tom Taylor",2017,TV-14,94 min,"Movies Based on Books ,Action & Adventure Movies ",United States
80242537,Movie,Detective K: Secret of the Living Dead,,"Kim Myung-min, Oh Dal-soo, Kim Ji-won",2018,TV-14,119 min,"Crime Movies ,Comedy Movies ,Mystery Movies ,Movies Based on Books ,Action & Adventure Movies",South Korea
80119234,Movie,Bright,,"Will Smith, Joel Edgerton, Noomi Rapace",2017,TV-MA,117 min,"Crime Movies ,Action & Adventure Movies ",United States
81306306,Movie,The Seven Deadly Sins: Grudge of Edinburgh Part 2,,"Ayumu Murase, Koki Uchiyama, Yuki Kaji",2023,TV-14,54 min,"Action Anime ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan
81640916,Movie,Project Wolf Hunting,,"Seo In-guk, Jang Dong-yoon, Choi Gwi-hwa",2022,TV-MA,117 min,"Sci-Fi Movies ,Horror Movies ,Action & Adventure Movies",South Korea
70208599,Movie,The Amazing Spider-Man,,"Andrew Garfield, Emma Stone, Rhys Ifans",2012,TV-PG,136 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81277430,Movie,Love and Monsters,,"Dylan O'Brien, Jessica Henwick, Michael Rooker",2021,TV-PG,109 min,"Family Movies ,Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies ,Teen Movies ",United States
81665916,Movie,Loi Bao,,"Cuong Seven, Nha Phuong, Hoang Son",2017,TV-14,113 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies",Vietnam
81309354,Movie,The Adam Project,,"Ryan Reynolds, Mark Ruffalo, Jennifer Garner",2022,TV-PG,106 min,"Family Movies ,Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies ",United States
80016588,Movie,Chappie,,"Sharlto Copley, Hugh Jackman, Sigourney Weaver",2015,TV-14,120 min,"Sci-Fi Movies ,Crime Movies ,Action & Adventure Movies ",United States
81418302,Movie,New Gods: Nezha Reborn,,"Yang Tianxiang, Zhang He, Xuan Xiaoming",2021,TV-PG,110 min,"Adult Animation ,Action Anime ,Movies Based on Books ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies ",China
81410810,Movie,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,"Natsuki Hanae, Akari Kito, Hiro Shimono",2020,TV-14,116 min,"Action Anime ,Historical Anime ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan
80149259,Movie,GANTZ:O,,"Daisuke Ono, M・A・O, Tomohiro Kaku",2016,TV-MA,95 min,"Action Anime ,Sci-Fi Movies ,Horror Movies ,Horror Anime ,Action & Adventure Movies ,Sci-Fi Anime ,Anime Movies",Japan
81094067,Movie,Space Sweepers,,"Song Joong-ki, Kim Tae-ri, Jin Sun-kyu",2021,TV-14,136 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies",South Korea
81473627,Movie,Warriors of Future,,"Louis Koo, Sean Lau, Carina Lau",2022,TV-PG,101 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies ",China
81439253,Movie,Mobile Suit Gundam Hathaway,,"Kensho Ono, Reina Ueda, Junichi Suwabe",2021,TV-14,96 min,"Action Anime ,Sci-Fi Movies ,Mecha & Cyborg Anime ,Movies Based on Books ,Action & Adventure Movies ,Sci-Fi Anime ,Anime Movies",Japan
81263946,Movie,The Seven Deadly Sins: Cursed by Light,,"Yuki Kaji, Sora Amamiya, Misaki Kuno",2021,TV-PG,80 min,"Action Anime ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan
80218306,Movie,Rim of the World,,"Jack Gore, Miya Cech, Benjamin Flores Jr.",2019,TV-14,99 min,"Sci-Fi Movies ,Independent Movies ,Action & Adventure Movies ,Teen Movies ",United States
81037868,TV Show,The Witcher: Nightmare of the Wolf,,"Theo James, Mary McDonnell, Lara Pulver",2021,TV-MA,1h 23m,"Action Anime ,TV Shows Based on Books ,Anime Series ,Movies Based on Books ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies ",United States
70301367,Movie,Jupiter Ascending,,"Mila Kunis, Channing Tatum, Sean Bean",2015,TV-14,127 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81408703,Movie,Cosmic Sin,,"Frank Grillo, Bruce Willis, Brandon Thomas Lee",2021,TV-MA,84 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81406611,Movie,Monster Run,,"Shawn Yue, Jessie Li, Kara Wai",2020,TV-PG,104 min,"Movies Based on Books ,Action & Adventure Movies ",China
81555916,Movie,The Characters of the Continent,,"Henry Cavill, Anya Chalotra, Freya Allan",2021,TV-MA,9 min,"Drama Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
81198900,Movie,F9: The Fast Saga,,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson",2021,TV-14,142 min,"Crime Movies ,Action & Adventure Movies ",United States
80124486,Movie,xXx: Return of Xander Cage,,"Vin Diesel, Donnie Yen, Samuel L. Jackson",2017,TV-PG,107 min,Action & Adventure Movies,United States
81161626,Movie,Red Notice,,"Dwayne Johnson, Ryan Reynolds, Gal Gadot",2021,TV-PG,118 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies ",United States
70230088,Movie,The Expendables 2,,"Sylvester Stallone, Jason Statham, Jet Li",2012,TV-14,102 min,Action & Adventure Movies,United States
80179070,Movie,Alpha,,"Kodi Smit-McPhee, Leonor Varela, Jóhannes Haukur Jóhannesson",2017,TV-PG,96 min,"Family Movies ,Drama Movies ,Action & Adventure Movies ",United States
80210715,Movie,Robin Hood,,"Taron Egerton, Jamie Foxx, Ben Mendelsohn",2018,TV-14,116 min,"Period Pieces ,Action & Adventure Movies ",United States
70295061,Movie,Noah,,"Russell Crowe, Jennifer Connelly, Ray Winstone",2014,TV-14,137 min,"Drama Movies ,Action & Adventure Movies ",United States
80218455,Movie,Guillermo del Toro’s Pinocchio,,"Ewan McGregor, David Bradley, Gregory Mann",2022,TV-Y7,121 min,"Family Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
81038963,Movie,The Old Guard,,"Charlize Theron, KiKi Layne, Marwan Kenzari",2020,TV-MA,125 min,"Movies Based on Books ,Action & Adventure Movies ",United States
81438065,Movie,The Ice Road,,"Liam Neeson, Marcus Thomas, Laurence Fishburne",2021,TV-14,108 min,Action & Adventure Movies,United States
80064516,Movie,The Revenant,,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson",2015,TV-MA,156 min,"Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies ",United States
81010971,Movie,Ad Astra,,"Brad Pitt, Tommy Lee Jones, Ruth Negga",2019,TV-PG,123 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies ",United States
80039517,Movie,The Ridiculous 6,,"Adam Sandler, Terry Crews, Jorge García",2015,TV-14,120 min,"Comedy Movies ,Westerns ,Action & Adventure Movies ",United States
80046309,Movie,Everest,,"Jason Clarke, Jake Gyllenhaal, Josh Brolin",2015,TV-PG,121 min,"Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies",United Kingdom
81460361,Movie,The Last Kingdom: Seven Kings Must Die,,"Alexander Dreymon, Harry Gilby, Mark Rowley",2023,TV-MA,111 min,"Drama Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies",United Kingdom
81054619,Movie,True Spirit,,"Teagan Croft, Cliff Curtis, Anna Paquin",2023,TV-Y7,109 min,"Family Movies ,Kids & Family Movies ,Drama Movies ,Movies Based on Books ,Movies Based on Real Life ,Action & Adventure Movies ,Teen Movies",Australia
81115160,Movie,Against The Ice,,"Nikolaj Coster-Waldau, Joe Cole, Heida Reed",2022,TV-PG,103 min,"Drama Movies ,Movies Based on Books ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies",Denmark
